iter	MultiClass
0	1.322175749
1	1.273449979
2	1.234991593
3	1.201473317
4	1.173881351
5	1.148752334
6	1.127700637
7	1.108139777
8	1.089198261
9	1.069906282
10	1.053876414
11	1.038160466
12	1.025134469
13	1.010799831
14	0.9972669515
15	0.9858518859
16	0.9752270772
17	0.9632031779
18	0.9518338318
19	0.9429571447
20	0.9337387603
21	0.9252102987
22	0.9162830566
23	0.9084079581
24	0.8998087177
25	0.892758806
26	0.8846664323
27	0.8784886751
28	0.8732927443
29	0.8638768579
30	0.8588059838
31	0.8517304734
32	0.8459200196
33	0.8410739592
34	0.8355123767
35	0.8297992925
36	0.8239354057
37	0.8184687651
38	0.8143827954
39	0.809299401
40	0.8058324223
41	0.8017266023
42	0.7967096825
43	0.7929068913
44	0.7884203378
45	0.7842882083
46	0.7802525742
47	0.7768761984
48	0.7720308948
49	0.7692300154
50	0.7653570255
51	0.7600613723
52	0.7568334445
53	0.7539435704
54	0.749267409
55	0.745215689
56	0.7423095816
57	0.739912255
58	0.7371877291
59	0.7346595334
60	0.7307855723
61	0.7281652384
62	0.725737806
63	0.7235762053
64	0.7199552485
65	0.7173811307
66	0.7147820169
67	0.7120404718
68	0.7092426467
69	0.7070050487
70	0.7042224025
71	0.7012301931
72	0.6986557384
73	0.6954457355
74	0.6936054517
75	0.6919595009
76	0.6894409314
77	0.6872835761
78	0.6856661643
79	0.6832839155
80	0.6815354066
81	0.6791739505
82	0.6775063518
83	0.6755374875
84	0.6736533346
85	0.6711495757
86	0.6692734513
87	0.6680061956
88	0.6645663185
89	0.661999107
90	0.6604229042
91	0.6585988771
92	0.657207326
93	0.6558761132
94	0.653525239
95	0.6521847544
96	0.6500361153
97	0.6484688291
98	0.6473359611
99	0.646127033
100	0.6446378762
101	0.6434283042
102	0.6416667474
103	0.6395469122
104	0.6377439894
105	0.6357354647
106	0.6339769183
107	0.6328060093
108	0.6313983244
109	0.6300417341
110	0.6289574305
111	0.6273479924
112	0.6262164684
113	0.6247198898
114	0.6231691576
115	0.6214844163
116	0.6204957268
117	0.6189563544
118	0.6177621832
119	0.6167380404
120	0.6158201769
121	0.6145407961
122	0.6126748829
123	0.611472081
124	0.6106377401
125	0.60976739
126	0.6089693491
127	0.607402434
128	0.6063552954
129	0.605406345
130	0.6040617419
131	0.6030478275
132	0.6018157089
133	0.6004206115
134	0.5992303907
135	0.5982343447
136	0.5967866534
137	0.5960912943
138	0.5947356115
139	0.5932028556
140	0.59222416
141	0.5915621497
142	0.5908052721
143	0.5898108409
144	0.5886101486
145	0.5879114951
146	0.5870896914
147	0.58639777
148	0.5854422947
149	0.5843153312
150	0.583548339
151	0.5824857734
152	0.5817455779
153	0.5812372457
154	0.5800766077
155	0.579324684
156	0.5783475716
157	0.5772315704
158	0.5764696469
159	0.5756491268
160	0.5747389939
161	0.5735526221
162	0.5729526112
163	0.5721080017
164	0.5715047746
165	0.5710844829
166	0.5699370695
167	0.5689830477
168	0.5681701294
169	0.5675299127
170	0.5670055787
171	0.5665022578
172	0.5654042611
173	0.5647653278
174	0.5639983223
175	0.563307926
176	0.5628207246
177	0.5620875699
178	0.5611189976
179	0.5601239245
180	0.5595016261
181	0.5587005764
182	0.5582520886
183	0.5572609194
184	0.556712534
185	0.5561673853
186	0.5554116261
187	0.5549821575
188	0.5545892694
189	0.5537984267
190	0.552981623
191	0.5523861757
192	0.5520285198
193	0.551391251
194	0.5507541775
195	0.5500564491
196	0.5491658584
197	0.5486149711
198	0.5481519982
199	0.5478437227
200	0.5470182306
201	0.5466416179
202	0.5461122456
203	0.5454734335
204	0.5446637629
205	0.5444003652
206	0.5436844306
207	0.5430646866
208	0.5424902907
209	0.5416959526
210	0.5410920694
211	0.5407275566
212	0.5400501611
213	0.539242027
214	0.538932238
215	0.5385103246
216	0.5378857414
217	0.5372084441
218	0.5367506753
219	0.5362759865
220	0.5358666393
221	0.5356143893
222	0.5350295093
223	0.5346729316
224	0.5339509425
225	0.5332489987
226	0.5327246593
227	0.5323341438
228	0.5317509932
229	0.5312888251
230	0.5309717114
231	0.5305544493
232	0.5302615065
233	0.5298399654
234	0.5294032694
235	0.528963106
236	0.5286893484
237	0.5283285164
238	0.5279612771
239	0.5275456439
240	0.5270890153
241	0.5265577693
242	0.5262690458
243	0.5257192421
244	0.5248878
245	0.524384941
246	0.5239945072
247	0.5234328546
248	0.5229741305
249	0.5226901138
250	0.5225056913
251	0.5220865223
252	0.5216542517
253	0.5212045248
254	0.5206604103
255	0.520307393
256	0.5199970195
257	0.5196300911
258	0.5192018979
259	0.5184896555
260	0.5183051438
261	0.5178571308
262	0.5175861162
263	0.5171852846
264	0.5170104599
265	0.5166152278
266	0.5164018055
267	0.5161430714
268	0.5157194134
269	0.5154012772
270	0.5150081537
271	0.5147045052
272	0.5143479118
273	0.5140618122
274	0.5136628037
275	0.5133454402
276	0.5128506363
277	0.5125121198
278	0.5122994696
279	0.5118842002
280	0.5114500942
281	0.5112069827
282	0.5109114822
283	0.5105703631
284	0.5101482392
285	0.5098986073
286	0.5096092495
287	0.5094304342
288	0.5091659703
289	0.5089136786
290	0.5085536379
291	0.5083835671
292	0.5080134826
293	0.507775545
294	0.507538386
295	0.5072574527
296	0.5069700479
297	0.5064301244
298	0.5061842577
299	0.5058083449
300	0.5056459136
301	0.5053230066
302	0.5050296136
303	0.5047280553
304	0.5044535198
305	0.504172997
306	0.5039258661
307	0.5037990657
308	0.5034732079
309	0.5031978202
310	0.5029529047
311	0.5025901941
312	0.5022940326
313	0.5020637244
314	0.5018615547
315	0.5016559129
316	0.5015013012
317	0.5011801314
318	0.5008636976
319	0.5004671532
320	0.500358143
321	0.5001265762
322	0.4999277758
323	0.4996555679
324	0.4993301705
325	0.4991109489
326	0.4988984327
327	0.498679842
328	0.4984295923
329	0.4982652267
330	0.4981281455
331	0.4979645338
332	0.4978180497
333	0.4977190124
334	0.4975353493
335	0.4971481407
336	0.4968752215
337	0.4966683469
338	0.4964523271
339	0.4962238019
340	0.4961080046
341	0.4958280426
342	0.4956149308
343	0.4954739381
344	0.4952592458
345	0.4950206752
346	0.4948623418
347	0.4944603982
348	0.4942602167
349	0.4941255214
350	0.4939650101
351	0.493663399
352	0.4934232799
353	0.4932758155
354	0.4931288104
355	0.4929421313
356	0.4927586106
357	0.4926558953
358	0.4924681994
359	0.4922270091
360	0.4920314085
361	0.4918500291
362	0.4917472438
363	0.4914494152
364	0.491302741
365	0.4911830876
366	0.490921074
367	0.4907044203
368	0.4905333674
369	0.4902526438
370	0.4901629681
371	0.4899486388
372	0.4897351836
373	0.48960142
374	0.4894112297
375	0.4892591499
376	0.4890751368
377	0.4888950736
378	0.488671909
379	0.4883830863
380	0.4882998381
381	0.4881235483
382	0.4879301432
383	0.4878388564
384	0.4877043503
385	0.4873819319
386	0.4872285397
387	0.4870203308
388	0.4868866611
389	0.4867569116
390	0.4866689962
391	0.4864080146
392	0.486306122
393	0.4861398289
394	0.486060342
395	0.4859125417
396	0.4856314275
397	0.4854202356
398	0.4852795238
399	0.4850442124
400	0.4848928932
401	0.4846703568
402	0.4845899746
403	0.4844287815
404	0.4842568874
405	0.4840074844
406	0.4838611156
407	0.4836317372
408	0.4833605283
409	0.4832327609
410	0.4831244565
411	0.4829849985
412	0.4828141678
413	0.4827251336
414	0.4825879174
415	0.4825310963
416	0.4824274519
417	0.4823271095
418	0.4822230002
419	0.4820896145
420	0.4818997637
421	0.481714221
422	0.4816016607
423	0.4815230057
424	0.4814324358
425	0.4813008715
426	0.4811313249
427	0.4809488051
428	0.4808303332
429	0.4806250458
430	0.480472272
431	0.4803448076
432	0.4801503355
433	0.4799789453
434	0.4798552598
435	0.4797173449
436	0.4796068311
437	0.4794534382
438	0.4792705389
439	0.4791397882
440	0.478872824
441	0.4787798066
442	0.4785984313
443	0.4784605974
444	0.4783912327
445	0.4782685328
446	0.4781705735
447	0.4780264089
448	0.4779290044
449	0.4778246877
450	0.4776882906
451	0.4775150754
452	0.4774561452
453	0.4773321606
454	0.4772223899
455	0.4770578376
456	0.4769862997
457	0.4768788187
458	0.4767183493
459	0.4766338394
460	0.47644172
