iter	Passed	Remaining
0	442	221001
1	965	240391
2	1387	229876
3	1879	233011
4	2347	232380
5	2815	231848
6	3250	228960
7	3710	228208
8	4190	228604
9	4742	232399
10	5215	231872
11	5741	233483
12	6164	230932
13	6597	229011
14	7090	229264
15	7512	227252
16	8007	227516
17	8471	226860
18	8900	225318
19	9356	224549
20	9760	222629
21	10240	222502
22	10696	221826
23	11157	221294
24	11624	220867
25	12160	221696
26	12625	221181
27	13046	219919
28	13490	219107
29	14014	219559
30	14435	218399
31	14987	219191
32	15441	218515
33	15848	217221
34	16367	217451
35	16778	216261
36	17247	215831
37	17646	214545
38	18123	214233
39	18627	214215
40	19074	213543
41	19524	212909
42	19971	212256
43	20456	212007
44	21006	212400
45	21475	211954
46	21953	211593
47	22426	211181
48	22926	211016
49	23398	210584
50	23858	210052
51	24470	210826
52	24951	210441
53	25426	210004
54	25862	209254
55	26299	208517
56	26809	208364
57	27199	207281
58	27668	206811
59	28105	206110
60	28509	205173
61	28895	204130
62	29362	203670
63	29861	203433
64	30306	202820
65	30741	202149
66	31237	201875
67	31638	200997
68	32043	200157
69	32411	199097
70	32883	198693
71	33363	198324
72	33806	197744
73	34291	197409
74	34846	197464
75	35280	196830
76	35779	196554
77	36166	195670
78	36610	195103
79	37120	194884
80	37576	194379
81	38048	193953
82	38448	193171
83	38953	192911
84	39429	192507
85	39853	191850
86	40294	191284
87	40833	191173
88	41298	190713
89	41710	190014
90	42242	189859
91	42728	189491
92	43143	188809
93	43521	187975
94	43886	187093
95	44340	186600
96	44712	185763
97	45180	185332
98	45562	184551
99	45958	183833
100	46425	183403
101	46830	182730
102	47378	182613
103	47851	182205
104	48290	181663
105	48768	181272
106	49228	180810
107	49651	180216
108	50224	180161
109	50671	179653
110	51086	179031
111	51566	178641
112	52052	178268
113	52514	177811
114	52895	177084
115	53545	177254
116	53859	176308
117	54421	176178
118	54858	175638
119	55319	175179
120	55739	174587
121	56284	174388
122	56781	174036
123	57177	173377
124	57571	172715
125	57997	172152
126	58392	171497
127	58857	171053
128	59328	170625
129	59805	170215
130	60247	169705
131	60676	169159
132	61085	168559
133	61458	167864
134	61964	167532
135	62449	167143
136	62930	166741
137	63327	166119
138	63757	165586
139	64262	165247
140	64689	164706
141	65117	164169
142	65612	163802
143	66086	163379
144	66588	163026
145	67004	162462
146	67478	162039
147	67878	161439
148	68383	161091
149	68862	160679
150	69307	160188
151	69814	159838
152	70184	159175
153	70582	158580
154	71018	158073
155	71522	157715
156	71944	157178
157	72424	156765
158	72868	156277
159	73333	155834
160	73799	155390
161	74263	154944
162	74722	154486
163	75223	154117
164	75648	153589
165	75967	152851
166	76469	152480
167	76932	152032
168	77453	151698
169	77818	151060
170	78227	150508
171	78701	150081
172	79182	149667
173	79589	149116
174	80009	148588
175	80480	148157
176	80997	147809
177	81397	147247
178	81919	146905
179	82441	146562
180	82841	146002
181	83406	145732
182	83820	145197
183	84273	144730
184	84665	144160
185	85067	143608
186	85565	143219
187	85965	142666
188	86412	142192
189	86789	141603
190	87373	141353
191	87745	140758
192	88169	140249
193	88653	139834
194	89088	139344
195	89486	138795
196	89987	138406
197	90433	137933
198	90830	137387
199	91261	136891
200	91760	136499
201	92120	135901
202	92602	135482
203	93076	135052
204	93611	134709
205	94028	134196
206	94480	133733
207	94973	133328
208	95557	133049
209	95986	132553
210	96532	132217
211	96974	131739
212	97408	131249
213	97834	130750
214	98311	130319
215	98729	129810
216	99220	129397
217	99674	128936
218	100188	128552
219	100625	128068
220	101088	127617
221	101439	127027
222	101923	126604
223	102322	126075
224	102892	125757
225	103300	125240
226	103791	124823
227	104300	124428
228	104751	123963
229	105172	123463
230	105642	123020
231	106121	122588
232	106489	122029
233	106908	121528
234	107373	121080
235	107768	120554
236	108180	120048
237	108671	119630
238	109140	119187
239	109582	118714
240	110049	118268
241	110463	117767
242	110927	117318
243	111322	116797
244	111840	116405
245	112304	115956
246	112744	115483
247	113247	115074
248	113694	114607
249	114104	114104
250	114599	113686
251	115039	113213
252	115477	112739
253	115900	112249
254	116433	111867
255	116866	111387
256	117302	110912
257	117889	110578
258	118348	110123
259	118851	109709
260	119288	109233
261	119807	108832
262	120377	108477
263	121113	108268
264	121634	107864
265	122152	107457
266	122570	106962
267	122979	106460
268	123488	106044
269	123854	105505
270	124275	105014
271	124682	104513
272	125144	104057
273	125602	103599
274	125996	103087
275	126388	102576
276	126853	102123
277	127301	101657
278	127663	101123
279	128157	100695
280	128747	100340
281	129143	99834
282	129565	99349
283	130011	98882
284	130533	98472
285	130929	97968
286	131378	97503
287	131757	96988
288	132215	96531
289	132623	96037
290	133065	95569
291	133497	95094
292	133963	94643
293	134405	94175
294	134804	93677
295	135264	93222
296	135751	92786
297	136315	92401
298	136756	91933
299	137123	91415
300	137467	90883
301	137969	90457
302	138400	89982
303	138932	89574
304	139319	89072
305	139703	88570
306	140215	88148
307	140564	87624
308	141185	87270
309	141646	86815
310	142171	86399
311	142604	85928
312	143031	85453
313	143508	85008
314	143956	84546
315	144519	84150
316	145033	83725
317	145522	83286
318	146019	82851
319	146508	82411
320	146883	81907
321	147439	81503
322	147930	81064
323	148403	80614
324	148890	80171
325	149281	79677
326	149706	79202
327	150187	78756
328	150638	78295
329	151065	77821
330	151484	77344
331	151867	76848
332	152270	76363
333	152690	75887
334	153136	75425
335	153503	74924
336	154017	74495
337	154495	74048
338	154957	73593
339	155389	73124
340	155743	72619
341	156222	72172
342	156687	71719
343	157067	71228
344	157529	70774
345	157905	70281
